distance_gt_m,ape_deg,ase_deg_per_s,dee_m,orientation_gt,orientation_pred,object_id_pred,object_track_id_gt
73.07892974402485,0.0,0.0,0.0,oncoming,oncoming,1,1
73.04769708460587,0.0,0.0,0.0,oncoming,oncoming,1,1
73.03167968914005,0.0,0.0,0.0,oncoming,oncoming,1,1
72.99294726109352,0.0,0.0,0.0,oncoming,oncoming,1,1
72.9466934676271,0.0,0.0,0.0,oncoming,oncoming,1,1
72.9016827412088,0.0,0.0,0.0,oncoming,oncoming,1,1
72.83834050671611,0.0,0.0,0.0,oncoming,oncoming,1,1
72.78028573668009,0.0,0.0,0.0,oncoming,oncoming,1,1
72.7065772111533,0.0,0.0,0.0,oncoming,oncoming,1,1
72.63842059754663,0.0,0.0,0.0,oncoming,oncoming,1,1
72.57258050466822,0.0,0.0,0.0,oncoming,oncoming,1,1
72.48181574035638,0.0,0.0,0.0,oncoming,oncoming,1,1
72.37922677239561,0.0,0.0,0.0,oncoming,oncoming,1,1
72.28072144864308,0.0,0.0,0.0,oncoming,oncoming,1,1
72.19920024406048,0.0,0.0,0.0,oncoming,oncoming,1,1
72.0662496164737,0.0,0.0,0.0,oncoming,oncoming,1,1
71.97271459755093,0.0,0.0,0.0,oncoming,oncoming,1,1
71.84890298688573,0.0,0.0,0.0,oncoming,oncoming,1,1
71.71277519905836,0.0,0.0,0.0,oncoming,oncoming,1,1
71.60866568900754,0.0,0.0,0.0,oncoming,oncoming,1,1
71.46585873877872,0.0,0.0,0.0,oncoming,oncoming,1,1
71.34513734123883,0.0,0.0,0.0,oncoming,oncoming,1,1
71.204008248194,0.0,0.0,0.0,oncoming,oncoming,1,1
71.06806376573851,0.0,0.0,0.0,oncoming,oncoming,1,1
70.90752309029905,0.0,0.0,0.0,oncoming,oncoming,1,1
70.74427577670888,0.0,0.0,0.0,oncoming,oncoming,1,1
70.58129035094994,0.0,0.0,0.0,oncoming,oncoming,1,1
70.43051734393228,0.0,0.0,0.0,oncoming,oncoming,1,1
70.24959634412193,0.0,0.0,0.0,oncoming,oncoming,1,1
70.08885448860146,0.0,0.0,0.0,oncoming,oncoming,1,1
69.90983728685949,0.0,0.0,0.0,oncoming,oncoming,1,1
69.73151155683902,0.0,0.0,0.0,oncoming,oncoming,1,1
69.53722979898576,0.0,0.0,0.0,oncoming,oncoming,1,1
69.35226453998625,0.0,0.0,0.0,oncoming,oncoming,1,1
69.16634443069158,0.0,0.0,0.0,oncoming,oncoming,1,1
68.96458418755091,0.0,0.0,0.0,oncoming,oncoming,1,1
68.77316636211565,0.0,0.0,0.0,oncoming,oncoming,1,1
68.56687785222229,0.0,0.0,0.0,oncoming,oncoming,1,1
68.35828610097953,0.0,0.0,0.0,oncoming,oncoming,1,1
68.14385233374003,0.0,0.0,0.0,oncoming,oncoming,1,1
67.91073299842706,0.0,0.0,0.0,oncoming,oncoming,1,1
67.69037058517293,0.0,0.0,0.0,oncoming,oncoming,1,1
67.4424648489429,0.0,0.0,0.0,oncoming,oncoming,1,1
67.20536976629582,0.0,0.0,0.0,oncoming,oncoming,1,1
