Date,24,9,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vehicle_order,Fiat(500X),Hyundai(Ioniqhybrid),Volvo(XC40),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number_of_vehicles,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACC,2
Distance_setting,min
Time,Speed1,Lat1,Lon1,E1,N1,Speed2,Lat2,Lon2,E2,N2,Speed3,Lat3,Lon3,E3,N3,IVS1,IVS2,Driver1,Driver2,Driver3
60223.3,31.966573152687282,0.7940072950596699,0.14731732993827218,15334.111682636863,55302.36328346133,32.3778154683542,0.7940019629405272,0.14731935718740855,15343.820565624326,55270.41208113959,32.9021231629307,0.7939955447745338,0.14732159629308048,15353.947240017387,55229.559633964054,29.19973801581625,37.57985808017529,Human,ACC,ACC
60223.4,31.96447052903219,0.794007783120285,0.1473171540857159,15333.316553256309,55305.46895474833,32.3710000000141,0.7940024533502056,0.14731918427033164,15343.03856389748,55273.53342014119,32.897414752737525,0.7939960450207666,0.14732141689218775,15353.13597149026,55232.74330853131,29.18856822880488,37.51231417794051,Human,ACC,ACC
60223.5,31.96500555998451,0.7940082709999965,0.14731697900000118,15332.524750005401,55308.57351997879,32.37316756412433,0.7940029437393552,0.14731901083641355,15342.254234551303,55276.654572857784,32.8928447610958,0.7939965451991797,0.14732123785149964,15352.326320540851,55235.926563958936,29.17487853738032,37.4459475633746,Human,ACC,ACC
60223.6,31.968951535580434,0.7940087585838557,0.14731680480702533,15331.736819748283,55311.67627071156,32.380175719908024,0.7940034341514485,0.14731883690541014,15341.46766852422,55279.77582763837,32.88838317964644,0.7939970453427236,0.14732105914092306,15351.518149337558,55239.10960060382,29.15757696670855,37.38078617520843,Human,ACC,ACC
60223.7,31.975234652166005,0.7940092459013829,0.14731663119236724,15330.951407024038,55314.77738200245,32.38659601574871,0.7940039246004401,0.14731866256027465,15340.6792426826,55282.8972942875,32.884000000030404,0.7939975454843488,0.14732088073036465,15350.711320048791,55242.29261882285,29.13722828989668,37.31661710089113,Human,ACC,ACC
60223.8,31.982319332655248,0.7940097330182172,0.14731645773152613,15330.166680790484,55317.87724978146,32.387000000029865,0.7940044151002847,0.14731848788396013,15339.889333892816,55286.01908260972,32.87962045975675,0.7939980456457383,0.14732070258719449,15349.905684145859,55245.47574896449,29.11474958461851,37.25329370448609,Human,ACC,ACC
60223.9,31.98866999996218,0.7940102199999967,0.1473162840000012,15329.38081000544,55320.976269978586,32.37756898557764,0.7940049056524342,0.1473183129816699,15339.09841808148,55289.141220194884,32.874990779803056,0.7939985458035075,0.14732052466863432,15349.101050311785,55248.65884134352,29.091166387601145,37.19082792530936,Human,ACC,ACC
60224.0,31.9930290995648,0.7940107069297138,0.14731610970021286,15328.592504087634,55324.07495096807,32.360923343119296,0.79400539620833,0.14731813804760802,15338.307367416197,55292.263405774254,32.86981242701317,0.7939990459230037,0.1473203469293691,15348.297216532505,55251.84167626627,29.067884749826217,37.12888301275008,Human,ACC,ACC
60224.1,31.99525116722,0.7940111939597774,0.14731593504226598,15327.802634299478,55327.17425090098,32.341293207890075,0.7940058867069109,0.1473179632982286,15337.517153124816,55295.385255864414,32.8637868682309,0.7939995459695749,0.14732016932408368,15347.493980793952,55255.024034039074,29.046217830852985,37.0670185392246,Human,ACC,ACC
60224.2,31.99546876126019,0.7940116812599508,0.14731576036318675,15327.012612364319,55330.275240372626,32.3229087151252,0.794006377087116,0.1473177889499859,15336.728746435188,55298.50638698191,32.856615570300086,0.7940000459085689,0.14731999180746286,15346.691141082068,55258.20569496828,29.027428431717663,37.00479389886961,Human,ACC,ACC
60224.3,31.993814440017786,0.7940121689999966,0.1473155860000012,15326.223850005503,55333.3789899783,32.31000000005992,0.7940068672878839,0.1473176152193341,15335.943118575162,55301.62641564333,32.84800000006454,0.7940005457053331,0.14731981433419164,15345.888495382778,55261.386439360205,29.01277880233016,36.941768522574506,Human,ACC,ACC
60224.4,31.990702875431595,0.7940126572910191,0.14731541222025554,15325.437497058954,55336.48619247477,32.30544211011452,0.7940073572827984,0.1473174422447986,15335.16088987049,55304.74517329578,32.83779514913534,0.7940010453266817,0.1473196368723539,15345.085901832232,55264.56605758722,29.00293760406856,36.877799846842734,Human,ACC,ACC
